10.57 1
8.45 1
7.53 1
3.96 1
3.29 1
2.95 1
2.93 1
2.88 1
2.84 1
2.74 1
2.46 1
2.42 1
2.38 1
2.24 1
2.15 1
2.11 1
2.05 1
2.04 1
1.97 2
1.93 1
1.9 1
1.82 1
1.79 1
1.78 1
1.77 1
1.74 1
1.73 1
1.69 1
1.68 1
1.67 1
1.61 1
1.6 1
1.57 1
1.51 1
1.48 1
1.41 2
1.39 1
1.37 1
1.36 1
1.33 1
1.32 1
1.3 1
1.28 3
1.25 1
1.23 2
1.21 1
1.18 3
1.16 2
1.13 3
1.12 3
1.11 1
1.09 3
1.08 1
1.06 1
1.03 3
1.02 2
1.01 1
1 2
0.99 4
0.98 1
0.97 1
0.96 1
0.94 1
0.93 2
0.92 1
0.91 3
0.9 2
0.89 1
0.87 4
0.86 4
0.85 2
0.84 1
0.83 2
0.82 3
0.81 2
0.8 2
0.79 3
0.78 3
0.77 5
0.76 3
0.75 3
0.74 4
0.73 2
0.72 1
0.71 3
0.7 5
0.69 3
0.68 7
0.67 4
0.66 5
0.64 6
0.63 3
0.62 4
0.61 7
0.6 6
0.59 5
0.58 5
0.57 6
0.56 2
0.55 3
0.54 6
0.53 3
0.52 8
0.51 8
0.5 9
0.49 4
0.48 8
0.47 7
0.46 11
0.45 8
0.44 10
0.43 10
0.42 11
0.41 12
0.4 11
0.39 9
0.38 17
0.37 8
0.36 12
0.35 12
0.34 14
0.33 17
0.32 19
0.31 22
0.3 17
0.29 27
0.28 19
0.27 31
0.26 34
0.25 26
0.24 39
0.23 41
0.22 55
0.21 43
0.2 57
0.19 53
0.18 65
0.17 71
0.16 84
0.15 84
0.14 103
0.13 103
0.12 120
0.11 130
0.1 174
0.09 187
0.08 235
0.07 339
0.06 391
0.05 474
0.04 651
0.03 926
0.02 1616
0.01 3444
